    pL,                   dL,                      pR,              dR,                     du,                     PI,                DIL,          DIR
      0.001000        0.100000        0.999000        0.900000       -8.600000        5.640088        0.599380        2.199970
      0.001000        0.100000        0.999000        0.900000       -8.500000        5.521130        0.599367        2.182484
      0.001000        0.100000        0.999000        0.900000       -8.400000        5.403542        0.599353        2.164765
      0.001000        0.100000        0.999000        0.900000       -8.300000        5.287323        0.599339        2.146811
      0.001000        0.100000        0.999000        0.900000       -8.200000        5.172473        0.599324        2.128622
      0.001000        0.100000        0.999000        0.900000       -8.100000        5.058992        0.599309        2.110196
      0.001000        0.100000        0.999000        0.900000       -8.000000        4.946878        0.599293        2.091532
      0.001000        0.100000        0.999000        0.900000       -7.900000        4.836131        0.599277        2.072631
      0.001000        0.100000        0.999000        0.900000       -7.800000        4.726749        0.599260        2.053492
      0.001000        0.100000        0.999000        0.900000       -7.700000        4.618733        0.599243        2.034115
      0.001000        0.100000        0.999000        0.900000       -7.600000        4.512082        0.599225        2.014499
      0.001000        0.100000        0.999000        0.900000       -7.500000        4.406794        0.599207        1.994646
      0.001000        0.100000        0.999000        0.900000       -7.400000        4.302869        0.599188        1.974556
      0.001000        0.100000        0.999000        0.900000       -7.300000        4.200306        0.599168        1.954229
      0.001000        0.100000        0.999000        0.900000       -7.200000        4.099103        0.599147        1.933667
      0.001000        0.100000        0.999000        0.900000       -7.100000        3.999261        0.599126        1.912872
      0.001000        0.100000        0.999000        0.900000       -7.000000        3.900777        0.599104        1.891844
      0.001000        0.100000        0.999000        0.900000       -6.900000        3.803650        0.599081        1.870585
      0.001000        0.100000        0.999000        0.900000       -6.800000        3.707880        0.599058        1.849099
      0.001000        0.100000        0.999000        0.900000       -6.700000        3.613465        0.599033        1.827387
      0.001000        0.100000        0.999000        0.900000       -6.600000        3.520403        0.599007        1.805452
      0.001000        0.100000        0.999000        0.900000       -6.500000        3.428694        0.598981        1.783298
      0.001000        0.100000        0.999000        0.900000       -6.400000        3.338336        0.598953        1.760929
      0.001000        0.100000        0.999000        0.900000       -6.300000        3.249327        0.598925        1.738348
      0.001000        0.100000        0.999000        0.900000       -6.200000        3.161666        0.598895        1.715559
      0.001000        0.100000        0.999000        0.900000       -6.100000        3.075351        0.598864        1.692569
      0.001000        0.100000        0.999000        0.900000       -6.000000        2.990380        0.598832        1.669381
      0.001000        0.100000        0.999000        0.900000       -5.900000        2.906752        0.598798        1.646003
      0.001000        0.100000        0.999000        0.900000       -5.800000        2.824463        0.598763        1.622439
      0.001000        0.100000        0.999000        0.900000       -5.700000        2.743514        0.598727        1.598697
      0.001000        0.100000        0.999000        0.900000       -5.600000        2.663900        0.598689        1.574784
      0.001000        0.100000        0.999000        0.900000       -5.500000        2.585620        0.598649        1.550707
      0.001000        0.100000        0.999000        0.900000       -5.400000        2.508671        0.598608        1.526475
      0.001000        0.100000        0.999000        0.900000       -5.300000        2.433051        0.598565        1.502096
      0.001000        0.100000        0.999000        0.900000       -5.200000        2.358757        0.598520        1.477579
      0.001000        0.100000        0.999000        0.900000       -5.100000        2.285786        0.598473        1.452934
      0.001000        0.100000        0.999000        0.900000       -5.000000        2.214135        0.598424        1.428172
      0.001000        0.100000        0.999000        0.900000       -4.900000        2.143802        0.598372        1.403302
      0.001000        0.100000        0.999000        0.900000       -4.800000        2.074781        0.598318        1.378336
      0.001000        0.100000        0.999000        0.900000       -4.700000        2.007071        0.598261        1.353286
      0.001000        0.100000        0.999000        0.900000       -4.600000        1.940667        0.598202        1.328165
      0.001000        0.100000        0.999000        0.900000       -4.500000        1.875566        0.598140        1.302984
      0.001000        0.100000        0.999000        0.900000       -4.400000        1.811763        0.598075        1.277758
      0.001000        0.100000        0.999000        0.900000       -4.300000        1.749254        0.598006        1.252500
      0.001000        0.100000        0.999000        0.900000       -4.200000        1.688034        0.597934        1.227224
      0.001000        0.100000        0.999000        0.900000       -4.100000        1.628098        0.597858        1.201945
      0.001000        0.100000        0.999000        0.900000       -4.000000        1.569442        0.597778        1.176679
      0.001000        0.100000        0.999000        0.900000       -3.900000        1.512060        0.597694        1.151440
      0.001000        0.100000        0.999000        0.900000       -3.800000        1.455946        0.597606        1.126245
      0.001000        0.100000        0.999000        0.900000       -3.700000        1.401094        0.597513        1.101111
      0.001000        0.100000        0.999000        0.900000       -3.600000        1.347499        0.597414        1.076053
      0.001000        0.100000        0.999000        0.900000       -3.500000        1.295152        0.597310        1.051090
      0.001000        0.100000        0.999000        0.900000       -3.400000        1.244049        0.597200        1.026237
      0.001000        0.100000        0.999000        0.900000       -3.300000        1.194180        0.597084        1.001514
      0.001000        0.100000        0.999000        0.900000       -3.200000        1.145538        0.596961        0.976936
      0.001000        0.100000        0.999000        0.900000       -3.100000        1.098116        0.596830        0.952523
      0.001000        0.100000        0.999000        0.900000       -3.000000        1.051905        0.596692        0.928292
      0.001000        0.100000        0.999000        0.900000       -2.900000        1.006896        0.596545        0.904260
      0.001000        0.100000        0.999000        0.900000       -2.800000        0.963079        0.596388        0.880445
      0.001000        0.100000        0.999000        0.900000       -2.700000        0.920445        0.596222        0.856853
      0.001000        0.100000        0.999000        0.900000       -2.600000        0.878984        0.596045        0.833486
      0.001000        0.100000        0.999000        0.900000       -2.500000        0.838686        0.595856        0.810349
      0.001000        0.100000        0.999000        0.900000       -2.400000        0.799540        0.595655        0.787443
      0.001000        0.100000        0.999000        0.900000       -2.300000        0.761537        0.595440        0.764772
      0.001000        0.100000        0.999000        0.900000       -2.200000        0.724665        0.595210        0.742339
      0.001000        0.100000        0.999000        0.900000       -2.100000        0.688914        0.594963        0.720148
      0.001000        0.100000        0.999000        0.900000       -2.000000        0.654272        0.594699        0.698201
      0.001000        0.100000        0.999000        0.900000       -1.900000        0.620728        0.594415        0.676502
      0.001000        0.100000        0.999000        0.900000       -1.800000        0.588271        0.594110        0.655054
      0.001000        0.100000        0.999000        0.900000       -1.700000        0.556888        0.593782        0.633861
      0.001000        0.100000        0.999000        0.900000       -1.600000        0.526568        0.593428        0.612928
      0.001000        0.100000        0.999000        0.900000       -1.500000        0.497298        0.593046        0.592256
      0.001000        0.100000        0.999000        0.900000       -1.400000        0.469066        0.592633        0.571851
      0.001000        0.100000        0.999000        0.900000       -1.300000        0.441858        0.592185        0.551716
      0.001000        0.100000        0.999000        0.900000       -1.200000        0.415662        0.591700        0.531855
      0.001000        0.100000        0.999000        0.900000       -1.100000        0.390464        0.591172        0.512272
      0.001000        0.100000        0.999000        0.900000       -1.000000        0.366251        0.590598        0.492973
      0.001000        0.100000        0.999000        0.900000       -0.900000        0.343008        0.589972        0.473960
      0.001000        0.100000        0.999000        0.900000       -0.800000        0.320721        0.589288        0.455239
      0.001000        0.100000        0.999000        0.900000       -0.700000        0.299376        0.588539        0.436813
      0.001000        0.100000        0.999000        0.900000       -0.600000        0.278956        0.587717        0.418689
      0.001000        0.100000        0.999000        0.900000       -0.500000        0.259448        0.586815        0.400870
      0.001000        0.100000        0.999000        0.900000       -0.400000        0.240835        0.585820        0.383362
      0.001000        0.100000        0.999000        0.900000       -0.300000        0.223101        0.584723        0.366170
      0.001000        0.100000        0.999000        0.900000       -0.200000        0.206230        0.583508        0.349299
      0.001000        0.100000        0.999000        0.900000       -0.100000        0.190205        0.582162        0.332754
      0.001000        0.100000        0.999000        0.900000        0.000000        0.175009        0.580664        0.316541
      0.001000        0.100000        0.999000        0.900000        0.100000        0.160623        0.578995        0.300665
      0.001000        0.100000        0.999000        0.900000        0.200000        0.147031        0.577129        0.285134
      0.001000        0.100000        0.999000        0.900000        0.300000        0.134213        0.575038        0.269951
      0.001000        0.100000        0.999000        0.900000        0.400000        0.122151        0.572688        0.255124
      0.001000        0.100000        0.999000        0.900000        0.500000        0.110825        0.570041        0.240658
      0.001000        0.100000        0.999000        0.900000        0.600000        0.100216        0.567048        0.226561
      0.001000        0.100000        0.999000        0.900000        0.700000        0.090303        0.563656        0.212838
      0.001000        0.100000        0.999000        0.900000        0.800000        0.081065        0.559800        0.199496
      0.001000        0.100000        0.999000        0.900000        0.900000        0.072482        0.555404        0.186543
      0.001000        0.100000        0.999000        0.900000        1.000000        0.064532        0.550377        0.173984
      0.001000        0.100000        0.999000        0.900000        1.100000        0.057192        0.544613        0.161827
      0.001000        0.100000        0.999000        0.900000        1.200000        0.050440        0.537987        0.150080
      0.001000        0.100000        0.999000        0.900000        1.300000        0.044252        0.530351        0.138748
      0.001000        0.100000        0.999000        0.900000        1.400000        0.038606        0.521536        0.127840
      0.001000        0.100000        0.999000        0.900000        1.500000        0.033477        0.511342        0.117363
